c_facility_system_id_pk,c_facility_id_pk,c_facility_name,c_facility_desc,c_facility_status_id_fk,c_facility_type_id_fk,c_facility_contact,c_facility_email_address,c_facility_phone,c_facility_address,c_facility_address1,c_facility_address2,c_facility_city,c_facility_state,c_facility_zip_code,c_facility_country_id_fk,c_facility_locale_id_fk,c_facility_time_zone_id_fk,
447888c6-eccf-4772-ab7a-a9876dd965f7,Facility102_Copy,test,test,app_ddl_inactive_text,ec695337-2b5d-4f14-9343-0e0121252ac4,Test,Test,Test,Test,Test,Test,Test,Test,102,240,03c1338f-e2a6-484a-992d-282a404187ec,1,
293d35c6-9f70-4b8b-bf98-b8bdba853827,Test2,Test3,Test3,app_ddl_active_text,971cbaee-a78a-4234-8248-082985d2f20e,Test,Test,Test,Test,Test,Test,Test,Test,103,240,03c1338f-e2a6-484a-992d-282a404187ec,1,
3ac29be1-62c6-47c5-88ff-bbb83975f280,4-gwd,4 david ave,facility1,,,,,,,,,,,,,,,
9eb26bad-64bd-4d74-91fc-d13f222a17c8,FTeset,Ftest,test,239C7439-F845-4414-AB31-EA8AC9E5093F,ec695337-2b5d-4f14-9343-0e0121252ac4,,,,a,,,c,s,s,240,03c1338f-e2a6-484a-992d-282a404187ec,1,
64858a17-e1dc-44db-93ef-e38bf3300bd3,Test2,Test2,Test2,app_ddl_active_text,971cbaee-a78a-4234-8248-082985d2f20e,Test,Test,Test,Test,Test,TEst,TEst,TEst,102,240,03c1338f-e2a6-484a-992d-282a404187ec,1,
64aed9b2-9c34-4865-b346-e65135944f1b,7-gwd,7 bama lane,facility1,,,,,,,,,,,,,,,
84b67ff7-3812-4f6a-89f4-f537df00d61f,F002234,F00222,test,239C7439-F845-4414-AB31-EA8AC9E5093F,ec695337-2b5d-4f14-9343-0e0121252ac4,,,,a,,,c,s,z,240,03c1338f-e2a6-484a-992d-282a404187ec,1,
964f90e3-eaa2-4ec7-9074-f5489c658ea9,1-gwd,1 Murray St.,facility1,,,,,,,,,,,,,,,
8a5cdd51-8c0d-45be-b4e4-fe21ce168cea,Facility103,test,test,app_ddl_inactive_text,971cbaee-a78a-4234-8248-082985d2f20e,Test,Test,Test,Test,Test,Test,Test,Test,102,240,03c1338f-e2a6-484a-992d-282a404187ec,1,

